n_samples,mrr,top1,top3,top5,top10,top20,n_clusters,cluster_topm,score_mode,tau,c_value,candidate_onehot,embedding_dim,use_type_probs,reranker_kind,mlp_hidden,mlp_alpha,train_cluster_samples,cluster_sizes
648,0.4265150281074486,0.3117283950617284,0.3888888888888889,0.5123456790123457,0.8009259259259259,0.9861111111111112,6,1,max,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.4261009438039511,0.3256172839506173,0.41203703703703703,0.48302469135802467,0.7592592592592593,0.8966049382716049,6,2,max,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.3881272058446554,0.28703703703703703,0.4089506172839506,0.5339506172839507,0.5339506172839507,0.6589506172839507,8,1,sum,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.377176964265918,0.2762345679012346,0.3734567901234568,0.49537037037037035,0.6033950617283951,0.6033950617283951,8,2,sum,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.4237091919682792,0.30864197530864196,0.38580246913580246,0.5092592592592593,0.7978395061728395,0.9861111111111112,8,1,max,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.4105002457441798,0.3117283950617284,0.41358024691358025,0.45987654320987653,0.6311728395061729,0.8996913580246914,8,2,max,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.3881272058446554,0.28703703703703703,0.4089506172839506,0.5339506172839507,0.5339506172839507,0.6589506172839507,8,1,sum,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.377176964265918,0.2762345679012346,0.3734567901234568,0.49537037037037035,0.6033950617283951,0.6033950617283951,8,2,sum,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.4237091919682792,0.30864197530864196,0.38580246913580246,0.5092592592592593,0.7978395061728395,0.9861111111111112,8,1,max,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.4105002457441798,0.3117283950617284,0.41358024691358025,0.45987654320987653,0.6311728395061729,0.8996913580246914,8,2,max,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.3881272058446554,0.28703703703703703,0.4089506172839506,0.5339506172839507,0.5339506172839507,0.6589506172839507,8,1,sum,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.377176964265918,0.2762345679012346,0.3734567901234568,0.49537037037037035,0.6033950617283951,0.6033950617283951,8,2,sum,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.4237091919682792,0.30864197530864196,0.38580246913580246,0.5092592592592593,0.7978395061728395,0.9861111111111112,8,1,max,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.4105002457441798,0.3117283950617284,0.41358024691358025,0.45987654320987653,0.6311728395061729,0.8996913580246914,8,2,max,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[4, 18, 10, 7, 3, 1, 3, 4]"
648,0.38025917367106765,0.2854938271604938,0.3888888888888889,0.5339506172839507,0.5370370370370371,0.6589506172839507,10,1,sum,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.37824662395289466,0.2839506172839506,0.375,0.4783950617283951,0.6033950617283951,0.6033950617283951,10,2,sum,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
