mrr_mean,mrr_std,mrr_count,top1_mean,top1_std,top1_count,top3_mean,top3_std,top3_count,top5_mean,top5_std,top5_count,event_top1_mean,event_top1_std,event_top1_count,event_top3_mean,event_top3_std,event_top3_count,event_top5_mean,event_top5_std,event_top5_count,active_f1_mean,active_f1_std,active_f1_count,normal_fpr_mean,normal_fpr_std,normal_fpr_count,scene_f1_mean,scene_f1_std,scene_f1_count
0.5413952134209409,,1,0.3732876712328767,,1,0.6449771689497716,,1,0.7591324200913242,,1,0.36065573770491804,,1,0.6885245901639344,,1,0.8032786885245902,,1,0.9389889599070307,,1,0.019514767932489453,,1,0.9833333333333333,,1
0.7204908141738748,,1,0.6187214611872146,,1,0.7899543378995434,,1,0.8424657534246576,,1,0.6229508196721312,,1,0.8360655737704918,,1,0.9016393442622951,,1,0.9862227324913891,,1,0.003691983122362869,,1,0.9836065573770492,,1
0.7809943212153705,,1,0.6598173515981736,,1,0.889269406392694,,1,0.9383561643835616,,1,0.6721311475409836,,1,0.9016393442622951,,1,0.9836065573770492,,1,0.964622641509434,,1,0.0010548523206751054,,1,0.9747899159663865,,1
0.7872082057438757,,1,0.6621004566210046,,1,0.906392694063927,,1,0.9634703196347032,,1,0.7049180327868853,,1,0.9344262295081968,,1,0.9836065573770492,,1,0.9718640093786636,,1,0.0005274261603375527,,1,0.9833333333333333,,1
0.8457453866493484,,1,0.7728310502283106,,1,0.8972602739726028,,1,0.9463470319634704,,1,0.819672131147541,,1,0.9508196721311475,,1,0.9836065573770492,,1,0.979045401629802,,1,0.0005274261603375527,,1,0.9917355371900827,,1
0.6067046794240878,,1,0.4280821917808219,,1,0.7157534246575342,,1,0.8550228310502284,,1,0.4262295081967213,,1,0.7213114754098361,,1,0.9016393442622951,,1,0.9798270893371758,,1,0.004746835443037975,,1,0.9917355371900827,,1
0.6577861197888171,,1,0.4828767123287671,,1,0.7842465753424658,,1,0.9315068493150684,,1,0.47540983606557374,,1,0.7868852459016393,,1,0.9672131147540983,,1,0.9914724275156339,,1,0.0058016877637130804,,1,1.0,,1
0.8401114215402434,,1,0.728310502283105,,1,0.9440639269406392,,1,0.9726027397260274,,1,0.7540983606557377,,1,0.9836065573770492,,1,0.9836065573770492,,1,0.9943246311010215,,1,0.005274261603375527,,1,0.991869918699187,,1
0.8461676900738586,,1,0.7442922374429224,,1,0.9372146118721462,,1,0.9714611872146118,,1,0.7377049180327869,,1,0.9508196721311475,,1,0.9836065573770492,,1,0.992,,1,0.0031645569620253164,,1,1.0,,1
0.8822670256438321,,1,0.7968036529680366,,1,0.9714611872146118,,1,0.997716894977169,,1,0.7868852459016393,,1,0.9672131147540983,,1,1.0,,1,0.9896551724137932,,1,0.0015822784810126582,,1,0.9917355371900827,,1
0.3151387036161404,,1,0.16095890410958905,,1,0.3664383561643836,,1,0.4828767123287671,,1,0.22950819672131148,,1,0.4262295081967213,,1,0.5901639344262295,,1,0.9845094664371773,,1,0.004746835443037975,,1,1.0,,1
0.7542443509175353,,1,0.6187214611872146,,1,0.8835616438356164,,1,0.9223744292237442,,1,0.6229508196721312,,1,0.8688524590163934,,1,0.9508196721311475,,1,0.9605185621685327,,1,0.0031645569620253164,,1,0.9833333333333333,,1
